 48
** Atomic data from version 5.2 of the CHIANTI database **
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%theoretical energies: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
% produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
% P.R.Young - 15-Feb-2004
%observed energies: Fuhr et al., 1999, NIST Atomic Spectra Database Version 2.0
%A-values: Berrington, K.A., Nakazaki, S., Norrington, P.H., 2000, A&AS, 142, 313
%comment:
     The following A-values were incorrect in the Berrington et al. (2000)
     paper and have been corrected (K.A. Berrington, 2004, private communication)

i-i'   A(correct)    (in paper)
  0  0   8.85e-01
  0  0   7.34e-01
  0  0   6.00e-01
  0  0   4.99e-01
  0  0   4.28e-01
  2  5   2.19e-01
  0  0   2.19e-01
  0  0   2.19e-01
  0  0   2.19e-01
  0  0   2.20e-01
  0  0   2.20e-01
  0  0   2.20e-01
  0  0   2.21e-01
  0  0   2.22e-01
  0  0   2.23e-01
  0  0   2.25e-01
  0  0   2.28e-01
  0  0   2.31e-01
  0  0   2.33e-01
  0  0   2.32e-01
  0  0   2.26e-01
  0  0   2.22e-01
  0  0   2.16e-01
  0  0   1.96e-01
  0  0   1.65e-01
  0  0   1.33e-01
  0  0   1.08e-01
  0  0   9.07e-02
  2  6   7.62e-01
  0  0   7.62e-01
  0  0   7.62e-01
  0  0   7.62e-01
  0  0   7.63e-01
  0  0   7.64e-01
  0  0   7.66e-01
  0  0   7.69e-01
  0  0   7.73e-01
  0  0   7.79e-01
  0  0   7.89e-01
  0  0   8.02e-01
  0  0   8.18e-01
  0  0   8.35e-01
  0  0   8.41e-01
  0  0   8.37e-01
  0  0   8.35e-01
  0  0   8.22e-01
  0  0   7.62e-01
  0  0   6.63e-01
  0  0   5.66e-01
  0  0   4.89e-01
  0  0   4.35e-01
  2  7   9.52e-01
  0  0   9.52e-01
  0  0   9.52e-01
  0  0   9.53e-01
  0  0   9.54e-01
  0  0   9.56e-01
  0  0   9.58e-01
  0  0   9.62e-01
  0  0   9.69e-01
  0  0   9.78e-01
  0  0   9.93e-01
  0  0   1.01e+00
  0  0   1.04e+00
  0  0   1.06e+00
  0  0   1.07e+00
  0  0   1.05e+00
  0  0   1.03e+00
  0  0   1.00e+00
  0  0   9.16e-01
  0  0   7.77e-01
  0  0   6.39e-01
  0  0   5.30e-01
  0  0   4.53e-01
  2  8   1.25e+00
  0  0   1.25e+00
  0  0   1.25e+00
  0  0   1.26e+00
  0  0   1.26e+00
  0  0   1.27e+00
  0  0   1.28e+00
  0  0   1.30e+00
  0  0   1.33e+00
  0  0   1.38e+00
  0  0   1.45e+00
  0  0   1.54e+00
  0  0   1.66e+00
  0  0   1.76e+00
  0  0   1.77e+00
  0  0   1.68e+00
  0  0   1.58e+00
  0  0   1.46e+00
  0  0   1.27e+00
  0  0   1.04e+00
  0  0   8.41e-01
  0  0   6.87e-01
  0  0   5.80e-01
  2  9   2.54e-01
  0  0   2.53e-01
  0  0   2.53e-01
  0  0   2.52e-01
  0  0   2.51e-01
  0  0   2.50e-01
  0  0   2.48e-01
  0  0   2.44e-01
  0  0   2.39e-01
  0  0   2.30e-01
  0  0   2.18e-01
  0  0   2.00e-01
  0  0   1.77e-01
  0  0   1.52e-01
  0  0   1.33e-01
  0  0   1.23e-01
  0  0   1.16e-01
  0  0   1.07e-01
  0  0   9.23e-02
  0  0   7.59e-02
  0  0   6.16e-02
  0  0   5.09e-02
  0  0   4.34e-02
  3  4   1.95e+00
  0  0   1.95e+00
  0  0   1.95e+00
  0  0   1.94e+00
  0  0   1.94e+00
  0  0   1.93e+00
  0  0   1.93e+00
  0  0   1.91e+00
  0  0   1.89e+00
  0  0   1.86e+00
  0  0   1.82e+00
  0  0   1.75e+00
  0  0   1.67e+00
  0  0   1.57e+00
  0  0   1.48e+00
  0  0   1.42e+00
  0  0   1.35e+00
  0  0   1.24e+00
  0  0   1.07e+00
  0  0   8.86e-01
  0  0   7.21e-01
  0  0   5.97e-01
  0  0   5.10e-01
  3  5   1.35e-01
  0  0   1.35e-01
  0  0   1.35e-01
  0  0   1.35e-01
  0  0   1.36e-01
  0  0   1.37e-01
  0  0   1.38e-01
  0  0   1.40e-01
  0  0   1.43e-01
  0  0   1.48e-01
  0  0   1.56e-01
  0  0   1.66e-01
  0  0   1.79e-01
  0  0   1.90e-01
  0  0   1.92e-01
  0  0   1.86e-01
  0  0   1.81e-01
  0  0   1.75e-01
  0  0   1.58e-01
  0  0   1.31e-01
  0  0   1.05e-01
  0  0   8.43e-02
  0  0   6.99e-02
  3  6   5.67e-01
  0  0   5.67e-01
  0  0   5.67e-01
  0  0   5.68e-01
  0  0   5.70e-01
  0  0   5.72e-01
  0  0   5.75e-01
  0  0   5.80e-01
  0  0   5.87e-01
  0  0   5.99e-01
  0  0   6.16e-01
  0  0   6.39e-01
  0  0   6.68e-01
  0  0   6.93e-01
  0  0   6.96e-01
  0  0   6.76e-01
  0  0   6.62e-01
  0  0   6.45e-01
  0  0   5.84e-01
  0  0   4.86e-01
  0  0   3.92e-01
  0  0   3.18e-01
  0  0   2.65e-01
  3  7   1.81e+00
  0  0   1.81e+00
  0  0   1.81e+00
  0  0   1.81e+00
  0  0   1.81e+00
  0  0   1.81e+00
  0  0   1.81e+00
  0  0   1.82e+00
  0  0   1.83e+00
  0  0   1.84e+00
  0  0   1.86e+00
  0  0   1.88e+00
  0  0   1.91e+00
  0  0   1.94e+00
  0  0   1.96e+00
  0  0   1.94e+00
  0  0   1.93e+00
  0  0   1.90e+00
  0  0   1.76e+00
  0  0   1.53e+00
  0  0   1.30e+00
  0  0   1.11e+00
  0  0   9.78e-01
  3  8   1.54e+00
  0  0   1.55e+00
  0  0   1.55e+00
  0  0   1.55e+00
  0  0   1.56e+00
  0  0   1.57e+00
  0  0   1.59e+00
  0  0   1.62e+00
  0  0   1.67e+00
  0  0   1.74e+00
  0  0   1.85e+00
  0  0   1.99e+00
  0  0   2.15e+00
  0  0   2.28e+00
  0  0   2.29e+00
  0  0   2.17e+00
  0  0   2.05e+00
  0  0   1.89e+00
  0  0   1.64e+00
  0  0   1.35e+00
  0  0   1.10e+00
  0  0   9.08e-01
  0  0   7.77e-01
  3  9   3.30e-01
  0  0   3.30e-01
  0  0   3.29e-01
  0  0   3.28e-01
  0  0   3.27e-01
  0  0   3.25e-01
  0  0   3.22e-01
  0  0   3.18e-01
  0  0   3.11e-01
  0  0   3.00e-01
  0  0   2.84e-01
  0  0   2.62e-01
  0  0   2.32e-01
  0  0   2.00e-01
  0  0   1.75e-01
  0  0   1.61e-01
  0  0   1.53e-01
  0  0   1.41e-01
  0  0   1.22e-01
  0  0   1.00e-01
  0  0   8.08e-02
  0  0   6.62e-02
  0  0   5.60e-02
  4  5   1.29e-01
  0  0   1.29e-01
  0  0   1.29e-01
  0  0   1.29e-01
  0  0   1.30e-01
  0  0   1.30e-01
  0  0   1.32e-01
  0  0   1.33e-01
  0  0   1.36e-01
  0  0   1.40e-01
  0  0   1.46e-01
  0  0   1.54e-01
  0  0   1.65e-01
  0  0   1.76e-01
  0  0   1.80e-01
  0  0   1.78e-01
  0  0   1.72e-01
  0  0   1.62e-01
  0  0   1.45e-01
  0  0   1.21e-01
  0  0   9.94e-02
  0  0   8.27e-02
  0  0   7.09e-02
  4  6   3.96e-01
  0  0   3.97e-01
  0  0   3.97e-01
  0  0   3.98e-01
  0  0   3.99e-01
  0  0   4.02e-01
  0  0   4.05e-01
  0  0   4.10e-01
  0  0   4.19e-01
  0  0   4.31e-01
  0  0   4.50e-01
  0  0   4.76e-01
  0  0   5.09e-01
  0  0   5.42e-01
  0  0   5.57e-01
  0  0   5.44e-01
  0  0   5.20e-01
  0  0   4.89e-01
  0  0   4.34e-01
  0  0   3.61e-01
  0  0   2.93e-01
  0  0   2.40e-01
  0  0   2.03e-01
  4  7   9.34e-01
  0  0   9.34e-01
  0  0   9.35e-01
  0  0   9.35e-01
  0  0   9.37e-01
  0  0   9.39e-01
  0  0   9.42e-01
  0  0   9.47e-01
  0  0   9.55e-01
  0  0   9.67e-01
  0  0   9.85e-01
  0  0   1.01e+00
  0  0   1.04e+00
  0  0   1.07e+00
  0  0   1.07e+00
  0  0   1.03e+00
  0  0   9.67e-01
  0  0   8.89e-01
  0  0   7.73e-01
  0  0   6.29e-01
  0  0   4.96e-01
  0  0   3.93e-01
  0  0   3.20e-01
  4  8   1.97e+00
  0  0   1.97e+00
  0  0   1.97e+00
  0  0   1.97e+00
  0  0   1.98e+00
  0  0   1.98e+00
  0  0   1.98e+00
  0  0   1.98e+00
  0  0   1.99e+00
  0  0   1.99e+00
  0  0   2.00e+00
  0  0   2.01e+00
  0  0   2.02e+00
  0  0   1.99e+00
  0  0   1.89e+00
  0  0   1.76e+00
  0  0   1.64e+00
  0  0   1.52e+00
  0  0   1.33e+00
  0  0   1.10e+00
  0  0   8.92e-01
  0  0   7.39e-01
  0  0   6.33e-01
  4  9   5.86e-01
  0  0   5.86e-01
  0  0   5.86e-01
  0  0   5.85e-01
  0  0   5.84e-01
  0  0   5.82e-01
  0  0   5.79e-01
  0  0   5.74e-01
  0  0   5.67e-01
  0  0   5.56e-01
  0  0   5.41e-01
  0  0   5.19e-01
  0  0   4.92e-01
  0  0   4.70e-01
  0  0   4.66e-01
  0  0   4.80e-01
  0  0   4.95e-01
  0  0   4.91e-01
  0  0   4.64e-01
  0  0   4.24e-01
  0  0   3.87e-01
  0  0   3.59e-01
  0  0   3.39e-01
  5  6   3.15e-01
  0  0   3.15e-01
  0  0   3.15e-01
  0  0   3.16e-01
  0  0   3.16e-01
  0  0   3.17e-01
  0  0   3.18e-01
  0  0   3.20e-01
  0  0   3.23e-01
  0  0   3.28e-01
  0  0   3.35e-01
  0  0   3.46e-01
  0  0   3.59e-01
  0  0   3.74e-01
  0  0   3.82e-01
  0  0   3.81e-01
  0  0   3.83e-01
  0  0   4.01e-01
  0  0   3.99e-01
  0  0   3.61e-01
  0  0   3.07e-01
  0  0   2.59e-01
  0  0   2.24e-01
  5  7   3.03e-01
  0  0   3.03e-01
  0  0   3.03e-01
  0  0   3.03e-01
  0  0   3.03e-01
  0  0   3.04e-01
  0  0   3.04e-01
  0  0   3.05e-01
  0  0   3.06e-01
  0  0   3.08e-01
  0  0   3.10e-01
  0  0   3.14e-01
  0  0   3.19e-01
  0  0   3.24e-01
  0  0   3.26e-01
  0  0   3.28e-01
  0  0   3.41e-01
  0  0   3.62e-01
  0  0   3.61e-01
  0  0   3.29e-01
  0  0   2.88e-01
  0  0   2.53e-01
  0  0   2.27e-01
  5  8   1.35e-01
  0  0   1.35e-01
  0  0   1.35e-01
  0  0   1.35e-01
  0  0   1.35e-01
  0  0   1.36e-01
  0  0   1.36e-01
  0  0   1.37e-01
  0  0   1.39e-01
  0  0   1.42e-01
  0  0   1.45e-01
  0  0   1.51e-01
  0  0   1.59e-01
  0  0   1.70e-01
  0  0   1.80e-01
  0  0   1.86e-01
  0  0   1.85e-01
  0  0   1.74e-01
  0  0   1.56e-01
  0  0   1.31e-01
  0  0   1.06e-01
  0  0   8.48e-02
  0  0   6.90e-02
  5  9   1.85e-02
  0  0   1.85e-02
  0  0   1.86e-02
  0  0   1.87e-02
  0  0   1.89e-02
  0  0   1.91e-02
  0  0   1.95e-02
  0  0   2.02e-02
  0  0   2.11e-02
  0  0   2.26e-02
  0  0   2.49e-02
  0  0   2.81e-02
  0  0   3.24e-02
  0  0   3.72e-02
  0  0   4.06e-02
  0  0   4.12e-02
  0  0   3.93e-02
  0  0   3.64e-02
  0  0   3.19e-02
  0  0   2.63e-02
  0  0   2.11e-02
  0  0   1.71e-02
  0  0   1.42e-02
  6  7   1.06e+00
  0  0   1.06e+00
  0  0   1.06e+00
  0  0   1.06e+00
  0  0   1.06e+00
  0  0   1.07e+00
  0  0   1.07e+00
  0  0   1.07e+00
  0  0   1.08e+00
  0  0   1.09e+00
  0  0   1.10e+00
  0  0   1.12e+00
  0  0   1.15e+00
  0  0   1.18e+00
  0  0   1.19e+00
  0  0   1.19e+00
  0  0   1.23e+00
  0  0   1.30e+00
  0  0   1.30e+00
  0  0   1.19e+00
  0  0   1.03e+00
  0  0   9.03e-01
  0  0   8.06e-01
  6  8   4.00e-01
  0  0   4.00e-01
  0  0   4.01e-01
  0  0   4.01e-01
  0  0   4.02e-01
  0  0   4.03e-01
  0  0   4.06e-01
  0  0   4.09e-01
  0  0   4.14e-01
  0  0   4.23e-01
  0  0   4.35e-01
  0  0   4.54e-01
  0  0   4.80e-01
  0  0   5.12e-01
  0  0   5.42e-01
  0  0   5.59e-01
  0  0   5.53e-01
  0  0   5.25e-01
  0  0   4.70e-01
  0  0   3.96e-01
  0  0   3.20e-01
  0  0   2.59e-01
